"blue","green","red","nir","re","swir","vv","vh","dem","ndvi","evi","vvvh","class","bin"
0.105840012431145,0.107612535357475,0.0951898470520973,0.144345968961716,0.307936489582062,0.295642524957657,-9.5855884552002,-15.6597661972046,101.55721282959,0.212296918034554,0.135303199291229,-25.8562984466553,0,0
0.119928315281868,0.122241996228695,0.120190188288689,0.155056864023209,0.335060060024261,0.325788974761963,-9.92444610595703,-15.8393383026123,92.7200393676758,0.143621921539307,0.0953671038150787,-26.3893985748291,6.88,0
0.0980319976806641,0.094978392124176,0.0690665990114212,0.116709835827351,0.327708184719086,0.224771812558174,-8.53701591491699,-14.7708082199097,87.4340133666992,0.260739147663116,0.150661498308182,-23.8853607177734,16.34,1
0.367978662252426,0.368064016103745,0.396728605031967,0.416522890329361,0.487088233232498,0.53104567527771,-8.57725429534912,-15.4082717895508,99.2416305541992,0.0273642800748348,0.047509279102087,-24.539098739624,6.88,0
0.110285744071007,0.113891743123531,0.107496358454227,0.148857474327087,0.33384096622467,0.2950798869133,-9.02891826629639,-15.1915483474731,191.39485168457,0.167680025100708,0.109136112034321,-24.8130798339844,5.16,0
0.285625249147415,0.277554005384445,0.278913885354996,0.297915428876877,0.403040111064911,0.402827441692352,-10.0794944763184,-16.7765522003174,66.9776382446289,0.0427698381245136,0.058615431189537,-27.4547901153564,0,0
0.126146823167801,0.12810605764389,0.125686556100845,0.15389022231102,0.265262395143509,0.295062154531479,-10.1714458465576,-16.1259574890137,7.01502180099487,0.106592856347561,0.0744168758392334,-26.9266357421875,0,0
0.0950552970170975,0.0986067578196526,0.0594939701259136,0.120079457759857,0.411316901445389,0.202408775687218,-6.39301061630249,-13.2785158157349,262.228881835938,0.339036017656326,0.198945447802544,-20.1494827270508,6.88,0
0.1047003865242,0.104945443570614,0.0867834687232971,0.135032400488853,0.313486307859421,0.266417503356934,-8.73946666717529,-15.015341758728,66.895866394043,0.233373641967773,0.142729252576828,-24.3360843658447,5.16,0
0.212531492114067,0.200946524739265,0.200467959046364,0.216293752193451,0.298674613237381,0.284956455230713,-7.08311653137207,-13.745566368103,214.707672119141,0.0570546053349972,0.053982213139534,-21.3432941436768,3.44,0
0.120230726897717,0.12313025444746,0.13973830640316,0.158948123455048,0.320700436830521,0.338243395090103,-9.68845844268799,-17.1538715362549,130.960662841797,0.0718124210834503,0.0466815456748009,-27.4066677093506,0,0
0.256773620843887,0.259219229221344,0.259458243846893,0.291571795940399,0.444032996892929,0.40091073513031,-8.69025135040283,-14.6757078170776,162.727966308594,0.0735088884830475,0.0941611975431442,-23.9575023651123,4.3,0
0.114778682589531,0.1192592009902,0.13431191444397,0.15992733836174,0.236231982707977,0.34316822886467,-9.83859825134277,-17.8950672149658,327.230133056641,0.0941239893436432,0.0608955696225166,-28.2824840545654,1.72,0
0.0967172980308533,0.0850557088851929,0.0713593289256096,0.09172523021698,0.170277088880539,0.144331723451614,-9.19565200805664,-15.8883094787598,96.0979537963867,0.128802701830864,0.0644198581576347,-25.6607055664062,0,0
0.116657868027687,0.12110061943531,0.136133015155792,0.162321627140045,0.251170963048935,0.336909145116806,-9.7701473236084,-16.9116764068604,67.3501739501953,0.0964453816413879,0.0627809837460518,-27.2604351043701,0,0
